place,title,time,pay,date
대구 중구,[신세계L&B] 트레이더스 비산점 와인판촉 주말고정 알바모집,13:00~21:00,"일급88,000",1시간전
서울 광진구,[신세계L&B] 이마트 명일점 맥주판촉 주말알바모집(총 7일 근무),13:00~21:00,"일급88,000",2시간전
서울 강동구,[신세계L&B] 이마트 명일점 맥주판촉 주말알바모집(총 7일 근무),13:00~21:00,"일급88,000",2시간전
대구 서구,[신세계L&B] 트레이더스 비산점 와인판촉 주말고정 알바모집,13:00~21:00,"일급88,000",2시간전
대전 유성구,[신세계L&B] 트레이더스 월평점 와인 주말판촉알바 모집(6.4~),13:00~21:00,"일급88,000",2시간전
대전 대덕구,[신세계L&B] 트레이더스 월평점 와인 주말판촉알바 모집(6.4~),13:00~21:00,"일급88,000",2시간전
대전 서구,[신세계L&B] 트레이더스 월평점 와인 주말판촉알바 모집(6.4~),13:00~21:00,"일급88,000",2시간전
부산 동래구,[신세계L&B] 트레이더스 연산점 와인판촉 주말고정 알바모집,13:00~21:00,"일급88,000",2시간전
부산 연제구,[신세계L&B] 트레이더스 연산점 와인판촉 주말고정 알바모집,13:00~21:00,"일급88,000",2시간전
경기 시흥시,[신세계L&B] 트레이더스 부천점 와인판촉 고정알바 모집(총 5일),13:00~21:00,"일급88,000",2시간전
경기 부천시,[신세계L&B] 트레이더스 부천점 와인판촉 고정알바 모집(총 5일),13:00~21:00,"일급88,000",2시간전
경기 오산시,[신세계L&B] 트레이더스 동탄점 와인 판매/진열 고정알바 모집(6월 오픈),12:00~20:00,"일급88,000",2시간전
경기 화성시,[신세계L&B] 트레이더스 동탄점 와인 판매/진열 고정알바 모집(6월 오픈),12:00~20:00,"일급88,000",2시간전
경기 수원시,[신세계L&B] 이마트흥덕점 맥주 시음/진열 알바모집(월 12일근무),12:00~20:00,"일급88,000",2시간전
경기 용인시,[신세계L&B] 이마트흥덕점 맥주 시음/진열 알바모집(월 12일근무),12:00~20:00,"일급88,000",2시간전
경기 용인시,[신세계L&B] 이마트흥덕점 맥주 시음/진열 알바모집(월 12일근무),12:00~20:00,"일급88,000",2시간전
경기 파주시,[신세계L&B] 이마트킨텍스점 맥주시음/판촉알바 모집(6.3~),13:00~21:00,"일급88,000",2시간전
경기 고양시,[신세계L&B] 이마트킨텍스점 맥주시음/판촉알바 모집(6.3~),13:00~21:00,"일급88,000",2시간전
경기 고양시,[신세계L&B] 이마트킨텍스점 맥주시음/판촉알바 모집(6.3~),13:00~21:00,"일급88,000",2시간전
서울 성동구,"갤러리아명품관 와인판촉 고정알바 모집(월 15일 근무, 세전 180내외)",10:30~20:30,"시급11,760",2시간전
서울 강남구,"갤러리아명품관 와인판촉 고정알바 모집(월 15일 근무, 세전 180내외)",10:30~20:30,"시급11,760",2시간전
경기 파주시,[신세계L&B] 이마트킨텍스점 와인판촉 알바모집(6.11~),13:00~21:00,"일급88,000",2시간전
경기 고양시,[신세계L&B] 이마트킨텍스점 와인판촉 알바모집(6.11~),13:00~21:00,"일급88,000",2시간전
경기 고양시,[신세계L&B] 이마트킨텍스점 와인판촉 알바모집(6.11~),13:00~21:00,"일급88,000",2시간전
경기 파주시,[신세계L&B] 트레이더스 킨텍스점 와인판촉 주말고정알바 모집,13:00~21:00,"일급88,000",2시간전
경기 고양시,[신세계L&B] 트레이더스 킨텍스점 와인판촉 주말고정알바 모집,13:00~21:00,"일급88,000",2시간전
경기 고양시,[신세계L&B] 트레이더스 킨텍스점 와인판촉 주말고정알바 모집,13:00~21:00,"일급88,000",2시간전
제주 제주시,[신세계L&B] 이마트 제주점 와인판촉 행사자 모집(6.11~),12:00~20:00,"일급88,000",2시간전
경기 오산시,[신세계L&B] 이마트 동탄점 와인 진열알바 모집(매주 1~2회),12:00~20:00,"일급88,000",3시간전
경기 화성시,[신세계L&B] 이마트 동탄점 와인 진열알바 모집(매주 1~2회),12:00~20:00,"일급88,000",3시간전
경기 수원시,[신세계L&B] 와인앤모어 광교점 매장 와인판매 스탭 모집,13:00~21:00,"일급88,000",3시간전
경기 수원시,[신세계L&B] 와인앤모어 광교점 매장 와인판매 스탭 모집,13:00~21:00,"일급88,000",3시간전
경기 수원시,[신세계L&B] 와인앤모어 광교점 매장 와인판매 스탭 모집,13:00~21:00,"일급88,000",3시간전
경기 수원시,[신세계L&B] 와인앤모어 광교점 매장 와인판매 스탭 모집,13:00~21:00,"일급88,000",3시간전
울산 울주군,[신세계L&B] 와인앤모어 기장점 STAFF 모집,12:00~20:00,"일급88,000",3시간전
경남 양산시,[신세계L&B] 와인앤모어 기장점 STAFF 모집,12:00~20:00,"일급88,000",3시간전
부산 기장군,[신세계L&B] 와인앤모어 기장점 STAFF 모집,12:00~20:00,"일급88,000",3시간전
인천 부평구,[신세계L&B] 이마트연수점 맥주진열/판촉 행사자모집(6.4~),12:00~20:00,"일급88,000",3시간전
인천 미추홀,[신세계L&B] 이마트연수점 맥주진열/판촉 행사자모집(6.4~),12:00~20:00,"일급88,000",3시간전
인천 연수구,[신세계L&B] 이마트연수점 맥주진열/판촉 행사자모집(6.4~),12:00~20:00,"일급88,000",3시간전
서울 관악구,[신세계L&B] 이마트 이수점 맥주시음/판촉알바모집(주말 위주),13:00~21:00,"일급88,000",3시간전
서울 동작구,[신세계L&B] 이마트 이수점 맥주시음/판촉알바모집(주말 위주),13:00~21:00,"일급88,000",3시간전
서울 용산구,[신세계L&B] 이마트마포점 와인판촉 고정알바모집(월 15일 근무),12:00~21:00,"일급105,640",3시간전
서울 서대문,[신세계L&B] 이마트마포점 와인판촉 고정알바모집(월 15일 근무),12:00~21:00,"일급105,640",3시간전
서울 마포구,[신세계L&B] 이마트마포점 와인판촉 고정알바모집(월 15일 근무),12:00~21:00,"일급105,640",3시간전
서울 금천구,[신세계L&B] 이마트 영등포점 와인판매 고정알바 모집(주말근무필수),13:00~21:00,"일급88,000",3시간전
서울 구로구,[신세계L&B] 이마트 영등포점 와인판매 고정알바 모집(주말근무필수),13:00~21:00,"일급88,000",3시간전
서울 영등포,[신세계L&B] 이마트 영등포점 와인판매 고정알바 모집(주말근무필수),13:00~21:00,"일급88,000",3시간전
경기 용인시,[신세계L&B] 이마트 동백점 와인판촉 주말고정알바모집(월 5~7일근무),13:00~21:00,"일급88,000",3시간전
경기 용인시,[신세계L&B] 이마트 동백점 와인판촉 주말고정알바모집(월 5~7일근무),13:00~21:00,"일급88,000",3시간전
